URL,Number of Outlinks
https://www.bbc.com,227
https://www.bbc.com#main-content,227
https://www.bbc.com/,227
https://www.bbc.com/watch-live-news/,141
https://www.bbc.com/news,195
https://www.bbc.com/sport,239
https://www.bbc.com/business,166
https://www.bbc.com/innovation,170
https://www.bbc.com/culture,192
https://www.bbc.com/arts,151
https://www.bbc.com/travel,184
https://www.bbc.com/future-planet,165
https://www.bbc.com/audio,165
https://www.bbc.com/video,176
https://www.bbc.com/live,231
https://www.bbc.com/home,204
https://www.bbc.com/news/topics/c2vdnvdg6xxt,166
https://www.bbc.com/news/war-in-ukraine,161
https://www.bbc.com/news/us-canada,166
https://www.bbc.com/news/uk,173
https://www.bbc.com/news/politics,156
https://www.bbc.com/news/england,176
https://www.bbc.com/news/northern_ireland,176
https://www.bbc.com/news/northern_ireland/northern_ireland_politics,152
https://www.bbc.com/news/scotland,179
https://www.bbc.com/news/scotland/scotland_politics,152
https://www.bbc.com/news/wales,176
https://www.bbc.com/news/wales/wales_politics,147
https://www.bbc.com/news/world/africa,172
https://www.bbc.com/news/world/asia,162
https://www.bbc.com/news/world/asia/china,157
https://www.bbc.com/news/world/asia/india,163
https://www.bbc.com/news/world/australia,160
https://www.bbc.com/news/world/europe,164
https://www.bbc.com/news/world/latin_america,160
https://www.bbc.com/news/world/middle_east,164
https://www.bbc.com/news/in_pictures,170
https://www.bbc.com/news/bbcindepth,155
https://www.bbc.com/news/bbcverify,172
https://www.bbc.com/business/executive-lounge,139
https://www.bbc.com/business/technology-of-business,150
https://www.bbc.com/business/future-of-business,176
https://www.bbc.com/innovation/technology,164
https://www.bbc.com/innovation/science,147
https://www.bbc.com/innovation/artificial-intelligence,161
https://www.bbc.com/innovation/ai-v-the-mind,137
https://www.bbc.com/culture/film-tv,169
https://www.bbc.com/culture/music,166
https://www.bbc.com/culture/art,166
https://www.bbc.com/culture/style,146
